sheet,days,hole,par,white_yds,pin_lat,pin_lon,green_center_lat,green_center_lon,green_front_lat,green_front_lon,green_back_lat,green_back_lon,paces_from_front,side,paces_from_side,label,green_depth_yd,green_width_yd
B,Tue / Wed,17,5,448,35.5267692,-92.0364631,35.5268,-92.0364,35.526939,-92.0364458,35.526661,-92.0363542,20,R,7,20 R7,35,22
B,Tue / Wed,9,3,153,35.5257406,-92.0379938,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,14,R,5,14 R5,28,18
B,Tue / Wed,18,3,153,35.5257406,-92.0379938,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,14,R,5,14 R5,28,18
C,Thu / Fri,1,4,267,35.5270301,-92.0373162,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,24,L,5,24 L5,30,20
C,Thu / Fri,10,4,267,35.5270301,-92.0373162,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,24,L,5,24 L5,30,20
C,Thu / Fri,2,3,116,35.5262471,-92.037666,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,22,L,5,22 L5,28,18
C,Thu / Fri,11,3,116,35.5262471,-92.037666,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,22,L,5,22 L5,28,18
C,Thu / Fri,3,4,361,35.5276528,-92.0362425,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,28,L,6,28 L6,34,22
C,Thu / Fri,12,4,361,35.5276528,-92.0362425,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,28,L,6,28 L6,34,22
C,Thu / Fri,4,3,174,35.5271633,-92.0354472,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,24,L,5,24 L5,30,20
C,Thu / Fri,13,3,174,35.5271633,-92.0354472,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,24,L,5,24 L5,30,20
C,Thu / Fri,5,4,358,35.5265062,-92.0356006,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,26,L,5,26 L5,32,21
C,Thu / Fri,14,4,358,35.5265062,-92.0356006,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,26,L,5,26 L5,32,21
